asset_class,lookback_months,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,n_observations
total,3,-0.09727491734466998,0.012955859643187562,0.18633098668144868,0.06953142831437313,-0.723559599159809,289
total,6,0.8552221248792578,0.042965516344717306,0.18714473782562324,0.2295844213624189,-0.4552635525929498,289
total,9,-0.14753380395136229,0.01066751730742212,0.1864520037520685,0.057213208186311995,-0.6386559044936511,289
total,12,0.41454934233391794,0.03402564862546664,0.19919554002732892,0.17081531353964272,-0.5539874288738694,289
total,18,0.3265627170315164,0.030652243172945043,0.1954177088907512,0.15685499204210435,-0.6572400983511896,289
total,24,0.8048056910722949,0.044476196925717665,0.20017086813374865,0.22219115768634173,-0.5017850452363524,289
commodities,3,-0.3503445238571047,-0.0011887980032756415,0.18363712312373132,-0.006473625719319569,-0.8387124261616348,289
commodities,6,-0.009830209545278357,0.01715063817761548,0.18933723963039953,0.09058248768755059,-0.7896289462435508,289
commodities,9,-0.5775705636815982,-0.017966458458275582,0.18887911005157484,-0.0951214692475505,-0.8476009846672476,289
commodities,12,1.9636915624498665,0.06575095254243088,0.20412087307063745,0.32211773128991716,-0.5624392798264279,289
commodities,18,1.1110686227743103,0.0499253211645931,0.19528865934059159,0.2556488499289723,-0.692155689387328,289
commodities,24,3.194827744142745,0.07785586169302608,0.19118186854168642,0.4072345473286863,-0.5474871299406147,289
forex,3,-0.24848412146098486,0.027100517289650752,0.2790646382139403,0.09711197184673247,-0.8402960181354516,289
forex,6,1.0223378777994685,0.06878039451181914,0.2815003743165154,0.24433500196516023,-0.6938157100333988,289
forex,9,0.02652749388845388,0.03930149307311985,0.27722405966303465,0.14176797324478527,-0.6948714104010021,289
forex,12,-0.606053179715516,0.0023003447085024322,0.28639996864048434,0.008031930727583413,-0.8271470635958036,289
forex,18,-0.45078481904827516,0.011379165181296972,0.2698830353351374,0.04216332148171695,-0.7449069435819896,289
forex,24,-0.5041668809389246,0.01109653215840924,0.28318454243824975,0.03918480882772375,-0.785033054783619,289
