strategy,Category,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,win_rate
"Vol-Adj Momentum (20,2.0)",Volatility-Adjusted,1.4127943485314844,0.05824035677284667,0.2012710633018382,0.18999430988993746,0.24838053374461663,-0.38359794518943746,0.20326447334863557
Basic Contrarian 1D,Basic,0.6884267578146159,0.03423713597728972,0.1381991029924234,0.10301901871295253,0.1055604878436973,-0.5302316295792779,0.5080336648814078
Basic Momentum 5D,Basic,0.59575827757597,0.03049184127887372,0.10267007073103138,0.10218987095430751,0.15028886121641608,-0.4057325761745417,0.5095638867635807
"Vol-Adj Momentum (30,1.5)",Volatility-Adjusted,0.5379808216213826,0.028052298292646993,0.22271590384068357,0.036155021504019225,0.058187401121288417,-0.4752989035280414,0.3680183626625861
Blended Portfolio,Blended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vol-Adj Contrarian (60,1.0)",Volatility-Adjusted,0.106004507494037,0.006496400256744472,0.18213375076871025,-0.07414111709808036,-0.09323577853146274,-0.5072025915763209,0.4876307064524356
Percentile Contrarian 20%,Percentile-Based,-0.1378992933523847,-0.009491158247231235,0.2237914436768291,-0.13177965056527624,-0.11720658049913958,-0.7885902874438568,0.48610048457026267
"Vol-Adj Momentum (10,1.0)",Volatility-Adjusted,-0.12122144176685745,-0.008270640147223118,0.17330954495447862,-0.16312223400418407,-0.22836406554768388,-0.485113780450691,0.47564396837541445
Basic Contrarian 5D,Basic,-0.05124438939561193,-0.003378557862172671,0.1243024261139,-0.18807804958489371,-0.21657369790749947,-0.6005323549632249,0.5121266275210621
Percentile Contrarian 10%,Percentile-Based,-0.5649808364203606,-0.05208983536685752,0.2993380336572648,-0.24083085762966805,-0.20081918283828118,-0.9115562933492266,0.4937515939811273
Basic Momentum 1D,Basic,-0.07023454924872086,-0.004669344559179445,0.10132698154167911,-0.24346273997150633,-0.3329630064838672,-0.4134319577862483,0.5062484060188728
"Multi-TF [1,5,10]",Multi-Timeframe,-0.4099563801303534,-0.03333748417617466,0.16111515870207946,-0.33105192960025465,-0.5579916692894886,-0.5384724867443904,0.49196633511859217
"Multi-TF [5,10,20]",Multi-Timeframe,-0.44153803916056067,-0.036749039466318134,0.15373956237663935,-0.3691245024315298,-0.6031155052537384,-0.512269878865798,0.4909461871971436
